store,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Tesco,17336,Meruňky 1 kg,merunky,44.9,78.77,Kč,"44,90 Kč / 1 kg",44.9,,False,,,-43% pá 21. 8. – ne 23. 8.,2026-08-21 - 2026-08-23,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?map=210626640,https://img.kupi.cz/kupi/thumbs/merunky_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,46381,Borůvky Tesco 500 g,boruvky,69.9,158.86,Kč,"13,98 Kč / 100 g",139.8,,False,,,-56% pá 21. 8. – ne 23. 8.,2026-08-21 - 2026-08-23,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?map=210626631,https://img.kupi.cz/kupi/thumbs/boruvky-tesco_170_340.png,2026-08-20T17:23:05+02:00
Tesco,2,Banány 1 kg,banany,17.9,39.78,Kč,"17,90 Kč / 1 kg",17.9,,False,,,-55% platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?map=210626019,https://img.kupi.cz/kupi/thumbs/banany_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,2859,Pomeranče 1 kg,pomerance,34.9,59.15,Kč,"34,90 Kč / 1 kg",34.9,,True,Clubcard,34.9,-41% Clubcard platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=3&map=210626793,https://img.kupi.cz/kupi/thumbs/pomerance_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,645,Mrkev 1 kg,mrkev,14.9,24.83,Kč,"14,90 Kč / 1 kg",14.9,,True,Clubcard,14.9,-40% Clubcard platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=3&map=210626745,https://img.kupi.cz/kupi/thumbs/mrkev-2_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,2114,Paprika bílá 1 kg,paprika_bila,24.9,49.8,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-50% platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=3&map=210626727,https://img.kupi.cz/kupi/thumbs/paprika-bila_170_340.png,2026-08-20T17:23:05+02:00
Tesco,309,Jablka červená 1 kg,jablka,24.9,39.52,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-37% platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=3&map=210626733,https://img.kupi.cz/kupi/thumbs/jablka-cervena_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,5977,Cuketa 1 kg,cuketa,21.9,39.82,Kč,"21,90 Kč / 1 kg",21.9,,True,Clubcard,21.9,-45% Clubcard platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=15&map=210631992,https://img.kupi.cz/kupi/thumbs/cuketa_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,871,Brambory 1 kg,brambory,9.9,24.75,Kč,"9,90 Kč / 1 kg",9.9,,False,,,-60% platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=3&map=210626718,https://img.kupi.cz/kupi/thumbs/brambory_170_340.jpg,2026-08-20T17:23:05+02:00
Tesco,112,Broskve 1 kg,broskve,34.9,79.32,Kč,"34,90 Kč / 1 kg",34.9,,False,,,-56% platí do úterý 25. 8.,2026-08-20 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=2&map=210626706,https://img.kupi.cz/kupi/thumbs/broskve_170_340.jpg,2026-08-20T17:23:05+02:00
